"area","list","name","url","comments","attachments","links"
"general","Стратегия","ТЗ. Авто продвижение анкет агентов на сайте","https://trello.com/c/bAu5gL1l","1","0","0"
"analytics-seo","Стратегия","seo-аудит от Оли","https://trello.com/c/OoNR6BFT","1","0","0"
"chat-ai-messaging","Стратегия","AI-ассистент по сводке диалога для экспертов и советы","https://trello.com/c/lj6vnWeG","0","0","0"
"chat-ai-messaging","Стратегия","AI-ассистент на сайт (сбор инфы)","https://trello.com/c/egrNDweI","1","0","0"
"general","Стратегия","1.0 Составление стратегии продвижении и рекламы","https://trello.com/c/W5Ov5djR","5","2","4"
"general","Стратегия","1.1 Анализ рынка и целевой аудитории","https://trello.com/c/6VTMTt7b","1","0","1"
"general","Стратегия","1.2. Анализ конкурентов","https://trello.com/c/zQW2Htac","1","0","2"
"chat-ai-messaging","Стратегия","1.4. Поиск и работа с астрологами","https://trello.com/c/Y5rPcPMI","1","0","0"
"general","Стратегия","1.5. Техническая часть","https://trello.com/c/K7Sn0ey2","2","0","0"
"legal-docs","Стратегия","1.6. Юридические вопросы","https://trello.com/c/9mcDFqLL","2","0","1"
"general","Стратегия","1.7. Маркетинг и привлечение клиентов","https://trello.com/c/VSVUXCqe","1","0","0"
"general","Стратегия","Стратегия. Свод этапа 1","https://trello.com/c/r1VjcfBi","1","0","0"
"general","Стратегия","2. Подготовительный этап","https://trello.com/c/YA7p0sIh","1","0","0"
"general","Стратегия","3. Готовность MVP","https://trello.com/c/Mqfr0f8w","1","0","0"
"chat-ai-messaging","Стратегия","4. Подготовка к запуску (параллельно с разработкой)","https://trello.com/c/ySCW17BG","1","0","0"
"general","Стратегия","5. Запуск и первые продажи","https://trello.com/c/wIZiE0NL","1","0","0"
"general","Стратегия","6. Масштабирование и улучшение","https://trello.com/c/WNvUTUqx","0","0","0"
"general","На проверке","Составить 10 ТЗ для прогера","https://trello.com/c/N8GBzNgc","14","0","15"
"general","На проверке","Поиск программиста на YII2 (10$/h)","https://trello.com/c/v5cjZiFY","17","4","16"
"general","На проверке","ВЫПОЛНЕНА _ ТЗ заполненность профиля 30%","https://trello.com/c/RYh3TU7Y","5","4","4"
"general","На проверке","Список премиум-городов и ТЗ","https://trello.com/c/OoR5CmRO","4","0","2"
"general","Фоновые задачи","Сервис поиска идей для стартапа","https://trello.com/c/L57WyO9q","3","0","0"
"chat-ai-messaging","Фоновые задачи","AI-ассистент хостес","https://trello.com/c/3AV5lTCF","1","0","0"
"general","Фоновые задачи","Переделать диалоговые окна","https://trello.com/c/PiXjxgGt","9","12","17"
"general","Фоновые задачи","Список мелких правок на сайте для Игоря","https://trello.com/c/8UrRCiud","1","1","3"
"general","Фоновые задачи","Реестр задач для программиста","https://trello.com/c/NCQsbhGS","2","1","4"
"nebula-strategy","Фоновые задачи","Подобрать название и URL проекта NEBULA","https://trello.com/c/pAkpaKzI","15","0","3"
"design-frontend","Фоновые задачи","Отрисовка страницу ""Города""","https://trello.com/c/CxEVl1q3","10","3","3"
"general","Фоновые задачи","Распределить функции в админ-панели по соответствующим блокам","https://trello.com/c/6DbNCbTi","6","1","1"
"general","Фоновые задачи","Натянуть лендинг","https://trello.com/c/tczbE5jy","4","1","1"
"design-frontend","Фоновые задачи","Дизайн лендинга Антоном","https://trello.com/c/VzWZEa6e","0","0","1"
"chat-ai-messaging","Фоновые задачи","Устроить на работу Ксению в другие сервисы для разведки","https://trello.com/c/0wi8cZ4y","3","0","2"
"chat-ai-messaging","Фоновые задачи","Найти готовый чат-бот на PHP","https://trello.com/c/b4r95XGk","5","0","2"
"general","Codex task","Задача 1","https://trello.com/c/jYLpcaMm","0","0","0"
"expert-ops-training","Codex task","P0-06 — Expert Application Flow: public-заявка эксперта + admin очередь заявок","https://trello.com/c/kZWn8Zn9","1","1","1"
"general","Codex task","P0-","https://trello.com/c/iutPrOjQ","0","0","0"
